N,Theta,AvgTotalMs,AvgTreeMs,AvgForceMs,AvgCollMs,InitialTotalEnergy,FinalTotalEnergy
100,0,0.184,0.036676,0.129906,0.013192,-0.0208457,-0.0208484
500,0,2.374,0.177306,2.07118,0.111036,-0.085833,-0.0859391
1000,0,8.104,0.378934,7.33713,0.358188,-0.194607,-0.195476
2500,0,47.804,0.999768,45.1406,1.58862,-0.432396,-0.448663
5000,0,182.916,1.99606,175.397,5.37402,-0.959582,-1.15113
100,0.5,0.124,0.034256,0.074502,0.01206,-0.0208457,-0.0208484
500,0.5,0.746,0.175062,0.451872,0.104638,-0.085833,-0.0859391
1000,0.5,2.028,0.38692,1.25042,0.358346,-0.194607,-0.195477
2500,0.5,6.306,1.03031,3.66797,1.53434,-0.432396,-0.449023
5000,0.5,14.75,1.97746,7.39325,5.23539,-0.959582,-1.14976
10000,0.5,35.296,4.03618,15.126,15.8422,-1.94027,-2.29413
100,1,0.12,0.035338,0.067928,0.013228,-0.0208457,-0.0208484
500,1,0.546,0.183716,0.23704,0.108186,-0.085833,-0.085939
1000,1,1.276,0.383308,0.493786,0.367536,-0.194607,-0.195482
2500,1,4.162,1.0158,1.50027,1.56708,-0.432396,-0.449035
5000,1,10.324,1.97053,2.90142,5.30588,-0.959582,-1.16029
10000,1,25.694,4.04394,5.45685,15.8994,-1.94027,-2.27218
100,1.5,0.126,0.036812,0.072092,0.013326,-0.0208457,-0.020848
500,1.5,0.482,0.177784,0.17894,0.108274,-0.085833,-0.0859393
1000,1.5,1.128,0.38071,0.352736,0.362286,-0.194607,-0.195485
2500,1.5,3.692,1.01085,0.993102,1.60541,-0.432396,-0.448394
5000,1.5,9.298,1.96153,1.87685,5.30955,-0.959582,-1.16056
10000,1.5,23.638,4.05299,3.39052,15.9043,-1.94027,-2.28514
