Time,TotalEnergy,HeatEnergy
0.100014,-8.48032e-05,-1.18165e-06
0.200027,-8.48058e-05,-1.18162e-06
0.300041,-8.48099e-05,-1.18159e-06
0.400055,-8.48308e-05,-1.16109e-06
0.500068,-8.51261e-05,-8.66645e-07
0.600082,-8.51586e-05,-8.35722e-07
0.700096,-8.51931e-05,-8.02862e-07
0.80011,-8.55235e-05,-4.74125e-07
0.900123,-8.57601e-05,-2.3934e-07
1.00014,-8.60466e-05,4.48073e-08
1.10015,-8.72968e-05,1.29139e-06
1.20016,-8.75151e-05,1.50555e-06
1.30018,-8.79713e-05,1.95708e-06
1.40019,-8.81427e-05,2.12273e-06
1.50021,-8.97594e-05,3.73297e-06
1.60022,-9.0286e-05,4.25306e-06
1.70023,-9.25614e-05,6.51819e-06
1.80025,-9.28696e-05,6.81788e-06
1.90026,-9.30356e-05,6.97549e-06
2.00027,-9.70449e-05,1.09768e-05
2.10029,-9.9275e-05,1.31999e-05
2.2003,-0.000100256,1.41736e-05
2.30031,-0.000100318,1.42285e-05
2.40033,-0.000102599,1.6502e-05
2.50034,-0.000104215,1.81095e-05
2.60036,-0.000104813,1.87e-05
2.70037,-0.000107499,2.13748e-05
2.80038,-0.00010793,2.17928e-05
2.9004,-0.00010893,2.27799e-05
3.00041,-0.000109898,2.37376e-05
3.10042,-0.000112606,2.64393e-05
3.20044,-0.000113326,2.71497e-05
3.30045,-0.000113716,2.75236e-05
3.40047,-0.000117593,3.1384e-05
3.50048,-0.000123089,3.68699e-05
3.60049,-0.000123896,3.76702e-05
3.70051,-0.000124359,3.81267e-05
3.80052,-0.000124473,3.82357e-05
3.90053,-0.000125605,3.93605e-05
4.00055,-0.000125667,3.94145e-05
4.10056,-0.000125849,3.95876e-05
4.20057,-0.000125946,3.96755e-05
4.30059,-0.000126347,4.00697e-05
4.4006,-0.000131495,4.52102e-05
4.50062,-0.000131596,4.53028e-05
4.60063,-0.000132168,4.58661e-05
4.70064,-0.00013219,4.58797e-05
4.80066,-0.000132212,4.58929e-05
4.90067,-0.000133101,4.67706e-05
5.00068,-0.000133236,4.68937e-05
5.1007,-0.000133266,4.69123e-05
5.20071,-0.000133286,4.6927e-05
5.30073,-0.000133781,4.74139e-05
5.40074,-0.00013403,4.76534e-05
5.50075,-0.000136198,4.98089e-05
5.60077,-0.000136956,5.05551e-05
5.70078,-0.00013843,5.2019e-05
5.80079,-0.000143833,5.74093e-05
5.90081,-0.000144553,5.81115e-05
6.00082,-0.000145966,5.95064e-05
6.10084,-0.000147176,6.06963e-05
6.20085,-0.000148498,6.19963e-05
6.30086,-0.000148818,6.22952e-05
6.40088,-0.000149158,6.2612e-05
6.50089,-0.000149402,6.28249e-05
6.6009,-0.000149693,6.30691e-05
6.70092,-0.000153381,6.67061e-05
6.80093,-0.000173261,8.65323e-05
6.90094,-0.000174079,8.73029e-05
7.00096,-0.000175068,8.82535e-05
