N,Theta,AvgTimeMs,InitialTotalEnergy,FinalTotalEnergy
100,0,0.206,-0.0175741,-0.0175741
500,0,2.424,-0.0795118,-0.0791509
1000,0,8.44,-0.16904,-0.168757
2500,0,50.23,-0.499088,-0.493349
5000,0,198.288,-0.875563,-0.853451
100,0.5,0.126,-0.0175741,-0.0175742
500,0.5,0.642,-0.0795118,-0.0791508
1000,0.5,1.514,-0.16904,-0.168757
2500,0.5,4.602,-0.499088,-0.49333
5000,0.5,9.83,-0.875563,-0.854305
10000,0.5,20.748,-1.93654,-1.85892
100,1,0.106,-0.0175741,-0.0175741
500,1,0.406,-0.0795118,-0.0791508
1000,1,0.876,-0.16904,-0.168756
2500,1,2.562,-0.499088,-0.493631
5000,1,5.354,-0.875563,-0.855056
10000,1,10.612,-1.93654,-1.82493
100,1.5,0.106,-0.0175741,-0.0175741
500,1.5,0.372,-0.0795118,-0.0791508
1000,1.5,0.748,-0.16904,-0.168947
2500,1.5,2.034,-0.499088,-0.495528
5000,1.5,4.37,-0.875563,-0.848332
10000,1.5,8.6,-1.93654,-1.83594
