N,Theta,AvgTimeMs,InitialTotalEnergy,FinalTotalEnergy
100,0,0.21,-0.0197802,-0.0197896
500,0,2.586,-0.090419,-0.0906303
1000,0,9.604,-0.165156,-0.166141
2500,0,50.838,-0.440427,-0.460487
5000,0,201.676,-0.97917,-1.18454
100,0.5,0.15,-0.0197802,-0.0197896
500,0.5,0.912,-0.090419,-0.0906304
1000,0.5,2.896,-0.165156,-0.166142
2500,0.5,9.786,-0.440427,-0.461498
5000,0.5,25.508,-0.97917,-1.18047
10000,0.5,69.05,-1.95226,-2.25456
100,1,0.128,-0.0197802,-0.0197896
500,1,0.704,-0.090419,-0.0906302
1000,1,2.016,-0.165156,-0.166113
2500,1,7.47,-0.440427,-0.461046
5000,1,20.936,-0.97917,-1.1922
10000,1,58.966,-1.95226,-2.26921
100,1.5,0.166,-0.0197802,-0.0197895
500,1.5,0.642,-0.090419,-0.0906317
1000,1.5,1.788,-0.165156,-0.166139
2500,1.5,6.984,-0.440427,-0.461004
5000,1.5,19.944,-0.97917,-1.18576
10000,1.5,57.11,-1.95226,-2.25351
