N,Theta,AvgTotalMs,AvgTreeMs,AvgForceMs,AvgCollMs,InitialTotalEnergy,FinalTotalEnergy
100,0,0.2,0.041786,0.15557,2.4e-05,-0.019333,-0.019333
500,0,2.616,0.190282,2.41121,3e-05,-0.0742355,-0.0742355
1000,0,9.444,0.431168,8.98461,3e-05,-0.179896,-0.178119
2500,0,54.16,1.14124,52.9452,3.4e-05,-0.477021,-0.470754
5000,0,213.23,2.40177,210.668,3.8e-05,-0.944729,-0.89629
100,0.5,0.128,0.03654,0.089128,4e-05,-0.019333,-0.019333
500,0.5,0.766,0.196506,0.553426,4.2e-05,-0.0742355,-0.0742355
1000,0.5,1.692,0.422874,1.24032,3.4e-05,-0.179896,-0.178119
2500,0.5,5.544,1.11878,4.35311,3.8e-05,-0.477021,-0.470738
5000,0.5,14.368,2.70175,11.4853,3.8e-05,-0.944729,-0.895734
10000,0.5,23.498,4.90485,18.3022,2e-05,-1.93064,-1.82281
100,1,0.116,0.038414,0.07414,3e-05,-0.019333,-0.019333
500,1,0.532,0.194126,0.322884,2e-05,-0.0742355,-0.0742356
1000,1,1.006,0.434332,0.541082,3e-05,-0.179896,-0.178127
2500,1,2.822,1.13286,1.61401,3.4e-05,-0.477021,-0.471114
5000,1,5.724,2.38885,3.19133,2e-05,-0.944729,-0.909849
10000,1,11.67,4.88943,6.48702,4.8e-05,-1.93064,-1.81763
100,1.5,0.122,0.037946,0.081442,4.4e-05,-0.019333,-0.0193329
500,1.5,0.42,0.191956,0.212956,2e-05,-0.0742355,-0.0742371
1000,1.5,0.836,0.424356,0.380162,3e-05,-0.179896,-0.179869
2500,1.5,2.338,1.16699,1.08817,2.8e-05,-0.477021,-0.457898
5000,1.5,4.664,2.37165,2.14258,4e-05,-0.944729,-0.901623
10000,1.5,9.528,4.96716,4.26721,4e-05,-1.93064,-1.85005
