N,Theta,AvgTotalMs,AvgTreeMs,AvgForceMs,AvgCollMs,InitialTotalEnergy,FinalTotalEnergy
100,0,0.204,0.035998,0.141444,0.024478,-0.0223063,-0.022309
500,0,3,0.186344,2.46719,0.333542,-0.0975337,-0.097685
1000,0,10.228,0.375006,8.75764,1.06592,-0.204835,-0.205779
2500,0,59.698,0.988024,53.7572,4.87873,-0.447476,-0.462512
5000,0,229.896,2.08318,211.546,16.115,-0.941196,-1.15828
100,0.5,0.162,0.037674,0.095828,0.024944,-0.0223063,-0.022309
500,0.5,1.154,0.19629,0.600866,0.340184,-0.0975337,-0.097685
1000,0.5,3.196,0.382456,1.69853,1.0833,-0.204835,-0.205779
2500,0.5,10.868,0.995308,4.84688,4.95503,-0.447476,-0.462644
5000,0.5,27.926,2.07927,9.54924,16.1541,-0.941196,-1.15425
10000,0.5,76.454,4.41335,19.1526,52.5993,-1.88666,-2.18794
100,1,0.134,0.036362,0.069638,0.024526,-0.0223063,-0.022309
500,1,0.808,0.179484,0.310478,0.304684,-0.0975337,-0.0976851
1000,1,2.084,0.361034,0.681396,1.01342,-0.204835,-0.205776
2500,1,7.4,0.94487,1.78748,4.59667,-0.447476,-0.46226
5000,1,20.954,1.98919,3.46652,15.3608,-0.941196,-1.15687
10000,1,61.08,4.26267,6.69628,49.8403,-1.88666,-2.2093
100,1.5,0.128,0.036814,0.062772,0.024772,-0.0223063,-0.0223094
500,1.5,0.716,0.180846,0.2116,0.309142,-0.0975337,-0.0976848
1000,1.5,1.898,0.363576,0.471066,1.03343,-0.204835,-0.205775
2500,1.5,6.97,0.96435,1.1788,4.7513,-0.447476,-0.46241
5000,1.5,19.652,1.98116,2.26228,15.2703,-0.941196,-1.15112
10000,1.5,59.008,4.22458,4.15738,50.35,-1.88666,-2.1951
